line_id,count,target,shift
Floor-1-Wing-South-Line-4,1260,1500,B
Floor-4-Wing-South-Line-1,1217,1500,A
Floor-4-Wing-South-Line-4,499,500,B
Floor-3-Wing-North-Line-1,1633,2000,C
Floor-1-Wing-South-Line-3,459,500,A
Floor-2-Wing-North-Line-4,492,500,A
Floor-4-Wing-South-Line-3,1224,1500,B
Floor-4-Wing-South-Line-3,659,800,C
Floor-4-Wing-South-Line-2,2008,2000,C
Floor-1-Wing-North-Line-5,395,500,A
Floor-2-Wing-North-Line-1,393,500,A
Floor-1-Wing-South-Line-3,402,500,A
Floor-4-Wing-North-Line-2,1764,2000,C
Floor-5-Wing-South-Line-4,460,500,C
Floor-2-Wing-South-Line-4,1762,2000,A
Floor-3-Wing-South-Line-4,1374,1500,B
Floor-5-Wing-South-Line-2,940,1200,B
Floor-5-Wing-North-Line-5,1188,1200,C
Floor-2-Wing-North-Line-5,965,1200,A
Floor-5-Wing-North-Line-1,461,500,C
Floor-5-Wing-South-Line-1,1019,1200,A
Floor-3-Wing-North-Line-3,1497,1500,C
Floor-1-Wing-North-Line-5,1852,2000,C
Floor-3-Wing-South-Line-4,1494,1500,B
Floor-5-Wing-South-Line-3,472,500,A
Floor-1-Wing-South-Line-2,944,1200,C
Floor-2-Wing-North-Line-2,415,500,C
Floor-5-Wing-South-Line-2,674,800,A
Floor-2-Wing-South-Line-4,1487,1500,B
Floor-1-Wing-South-Line-5,714,800,B
Floor-2-Wing-South-Line-1,1223,1500,C
Floor-5-Wing-North-Line-2,404,500,C
Floor-3-Wing-South-Line-4,760,800,A
Floor-5-Wing-South-Line-2,1170,1200,A
Floor-4-Wing-North-Line-2,1833,2000,B
Floor-4-Wing-North-Line-3,417,500,C
Floor-2-Wing-North-Line-4,1386,1500,A
Floor-1-Wing-South-Line-2,800,800,A
Floor-1-Wing-North-Line-4,631,800,A
Floor-4-Wing-North-Line-1,488,500,B
Floor-3-Wing-North-Line-1,1208,1200,B
Floor-1-Wing-South-Line-5,1828,2000,A
Floor-1-Wing-North-Line-2,1315,1500,B
Floor-3-Wing-South-Line-2,505,500,C
Floor-5-Wing-South-Line-3,1299,1500,C
Floor-3-Wing-North-Line-1,410,500,C
Floor-3-Wing-North-Line-3,643,800,B
Floor-1-Wing-South-Line-2,498,500,B
Floor-5-Wing-North-Line-3,1409,1500,A
Floor-1-Wing-South-Line-2,438,500,A
Floor-1-Wing-South-Line-4,1227,1500,C
Floor-2-Wing-South-Line-2,470,500,A
Floor-3-Wing-South-Line-4,723,800,B
Floor-2-Wing-South-Line-4,1807,2000,C
Floor-2-Wing-South-Line-5,2025,2000,B
Floor-5-Wing-South-Line-5,698,800,A
Floor-4-Wing-South-Line-4,714,800,C
Floor-4-Wing-South-Line-4,696,800,A
Floor-5-Wing-North-Line-5,1697,2000,A
Floor-5-Wing-North-Line-1,1342,1500,A
Floor-4-Wing-North-Line-2,1742,2000,A
Floor-2-Wing-North-Line-3,416,500,B
Floor-4-Wing-South-Line-2,1951,2000,B
Floor-2-Wing-South-Line-5,718,800,A
Floor-2-Wing-South-Line-4,1177,1200,A
Floor-5-Wing-South-Line-1,788,800,C
Floor-1-Wing-South-Line-2,1115,1200,B
Floor-1-Wing-North-Line-1,713,800,C
Floor-5-Wing-South-Line-5,626,800,B
Floor-2-Wing-North-Line-4,678,800,B
Floor-1-Wing-North-Line-5,1177,1200,A
Floor-5-Wing-South-Line-1,460,500,B
Floor-2-Wing-South-Line-4,1205,1200,A
Floor-5-Wing-North-Line-4,1123,1200,A
Floor-3-Wing-North-Line-5,1992,2000,B
Floor-1-Wing-North-Line-3,1601,2000,A
Floor-1-Wing-South-Line-3,429,500,A
Floor-1-Wing-South-Line-5,970,1200,B
Floor-3-Wing-North-Line-4,1846,2000,B
Floor-2-Wing-North-Line-5,701,800,A
Floor-4-Wing-South-Line-4,795,800,B
Floor-2-Wing-North-Line-3,437,500,C
Floor-1-Wing-South-Line-1,1316,1500,A
Floor-2-Wing-North-Line-4,1509,1500,C
Floor-5-Wing-North-Line-1,1333,1500,A
Floor-2-Wing-South-Line-4,446,500,A
Floor-3-Wing-South-Line-4,2030,2000,B
Floor-5-Wing-South-Line-5,815,800,A
Floor-2-Wing-South-Line-4,1115,1200,C
Floor-3-Wing-North-Line-5,1683,2000,B
Floor-3-Wing-North-Line-3,645,800,B
Floor-5-Wing-South-Line-5,676,800,B
Floor-2-Wing-South-Line-2,1206,1500,A
Floor-2-Wing-South-Line-4,1377,1500,B
Floor-2-Wing-North-Line-2,1304,1500,B
Floor-2-Wing-South-Line-3,698,800,C
Floor-5-Wing-North-Line-1,1810,2000,A
Floor-3-Wing-North-Line-2,476,500,A
Floor-4-Wing-North-Line-1,1664,2000,B
Floor-4-Wing-North-Line-4,662,800,C
Floor-5-Wing-South-Line-2,1910,2000,C
Floor-3-Wing-South-Line-3,1120,1200,C
Floor-1-Wing-North-Line-4,1198,1500,A
Floor-5-Wing-South-Line-4,403,500,C
Floor-5-Wing-South-Line-2,1744,2000,B
Floor-1-Wing-North-Line-5,627,800,B
Floor-2-Wing-North-Line-4,1491,1500,B
Floor-4-Wing-South-Line-4,800,800,C
Floor-4-Wing-North-Line-2,1917,2000,A
Floor-4-Wing-South-Line-2,981,1200,A
Floor-4-Wing-North-Line-2,2038,2000,A
Floor-3-Wing-North-Line-3,1931,2000,B
Floor-1-Wing-South-Line-4,722,800,A
Floor-2-Wing-South-Line-4,1217,1500,B
Floor-5-Wing-North-Line-2,747,800,B
Floor-4-Wing-North-Line-5,440,500,A
Floor-4-Wing-North-Line-2,484,500,B
Floor-2-Wing-North-Line-3,1107,1200,A
Floor-5-Wing-South-Line-3,952,1200,B
Floor-1-Wing-North-Line-5,1504,1500,B
Floor-3-Wing-South-Line-5,658,800,A
Floor-4-Wing-North-Line-2,1353,1500,B
Floor-1-Wing-South-Line-3,635,800,C
Floor-4-Wing-South-Line-1,640,800,A
Floor-3-Wing-North-Line-5,445,500,B
Floor-5-Wing-South-Line-4,469,500,C
Floor-2-Wing-South-Line-4,1207,1200,A
Floor-2-Wing-North-Line-4,632,800,C
Floor-4-Wing-North-Line-1,1221,1500,A
Floor-3-Wing-South-Line-2,2027,2000,C
Floor-4-Wing-South-Line-3,737,800,B
Floor-3-Wing-North-Line-5,1715,2000,B
Floor-4-Wing-South-Line-2,628,800,B
Floor-4-Wing-North-Line-3,1172,1200,A
Floor-1-Wing-South-Line-3,1165,1200,B
Floor-1-Wing-North-Line-1,1175,1200,C
Floor-3-Wing-South-Line-3,492,500,A
Floor-2-Wing-South-Line-4,1834,2000,A
Floor-2-Wing-North-Line-5,729,800,C
Floor-1-Wing-South-Line-5,1246,1500,A
Floor-1-Wing-South-Line-1,1502,1500,A
Floor-2-Wing-North-Line-3,680,800,B
Floor-4-Wing-North-Line-2,509,500,A
Floor-3-Wing-North-Line-4,756,800,C
Floor-5-Wing-North-Line-5,688,800,B
Floor-1-Wing-North-Line-5,1652,2000,C
Floor-3-Wing-South-Line-4,1171,1200,A
Floor-3-Wing-South-Line-1,1341,1500,C
Floor-1-Wing-South-Line-2,432,500,B
Floor-4-Wing-South-Line-5,1574,2000,C
Floor-2-Wing-South-Line-5,1070,1200,B
Floor-1-Wing-North-Line-1,1071,1200,C
Floor-4-Wing-North-Line-3,1253,1500,C
Floor-5-Wing-South-Line-5,726,800,B
Floor-3-Wing-North-Line-1,1316,1500,C
Floor-4-Wing-South-Line-2,1089,1200,C
Floor-5-Wing-South-Line-3,1071,1200,C
Floor-2-Wing-North-Line-1,669,800,A
Floor-3-Wing-South-Line-5,783,800,B
Floor-2-Wing-South-Line-2,658,800,A
Floor-5-Wing-South-Line-1,954,1200,A
Floor-5-Wing-South-Line-4,1496,1500,B
Floor-5-Wing-North-Line-5,804,800,A
Floor-4-Wing-North-Line-2,1333,1500,B
Floor-2-Wing-North-Line-4,508,500,B
Floor-3-Wing-North-Line-1,1828,2000,B
Floor-3-Wing-South-Line-5,457,500,A
Floor-2-Wing-South-Line-2,1515,1500,C
Floor-2-Wing-South-Line-1,1364,1500,B
Floor-1-Wing-North-Line-3,1343,1500,A
Floor-3-Wing-North-Line-2,1358,1500,A
Floor-4-Wing-North-Line-5,1303,1500,C
Floor-5-Wing-South-Line-2,790,800,B
Floor-2-Wing-South-Line-5,1878,2000,C
Floor-2-Wing-South-Line-3,976,1200,B
Floor-4-Wing-South-Line-1,415,500,C
Floor-1-Wing-South-Line-1,1497,1500,B
Floor-2-Wing-North-Line-5,1679,2000,C
Floor-4-Wing-South-Line-1,1503,1500,A
Floor-3-Wing-North-Line-5,719,800,B
Floor-3-Wing-North-Line-2,629,800,A
Floor-4-Wing-South-Line-5,1128,1200,A
Floor-3-Wing-South-Line-4,429,500,C
Floor-1-Wing-North-Line-3,1218,1500,B
Floor-4-Wing-North-Line-5,455,500,C
Floor-2-Wing-South-Line-2,659,800,A
Floor-5-Wing-South-Line-1,420,500,C
Floor-2-Wing-South-Line-1,429,500,C
Floor-3-Wing-North-Line-3,1342,1500,A
Floor-5-Wing-South-Line-1,1025,1200,B
Floor-4-Wing-South-Line-5,1346,1500,A
Floor-3-Wing-South-Line-2,1026,1200,B
Floor-2-Wing-South-Line-5,444,500,C
Floor-5-Wing-South-Line-2,761,800,C
Floor-5-Wing-North-Line-5,1154,1200,C
Floor-3-Wing-South-Line-4,1368,1500,C
Floor-2-Wing-South-Line-3,434,500,A
Floor-3-Wing-North-Line-2,1518,1500,B
Floor-1-Wing-South-Line-5,1072,1200,C
Floor-5-Wing-North-Line-2,1031,1200,B
Floor-5-Wing-South-Line-5,672,800,C
Floor-1-Wing-North-Line-4,1662,2000,C
Floor-2-Wing-North-Line-4,1765,2000,A
Floor-2-Wing-North-Line-5,768,800,B
Floor-3-Wing-South-Line-4,509,500,C
Floor-5-Wing-South-Line-4,1225,1500,C
Floor-4-Wing-South-Line-2,719,800,C
Floor-3-Wing-South-Line-2,767,800,B
Floor-2-Wing-South-Line-4,408,500,A
Floor-5-Wing-North-Line-1,1388,1500,A
Floor-5-Wing-South-Line-2,1771,2000,C
Floor-2-Wing-South-Line-3,401,500,A
Floor-1-Wing-North-Line-5,1810,2000,A
Floor-1-Wing-North-Line-1,765,800,C
Floor-5-Wing-North-Line-5,1760,2000,C
Floor-5-Wing-North-Line-1,393,500,B
Floor-3-Wing-North-Line-2,955,1200,C
Floor-2-Wing-South-Line-3,735,800,A
Floor-3-Wing-North-Line-1,437,500,A
Floor-1-Wing-North-Line-1,744,800,B
Floor-1-Wing-South-Line-2,708,800,A
Floor-4-Wing-North-Line-1,1035,1200,B
Floor-4-Wing-South-Line-2,1987,2000,C
Floor-1-Wing-North-Line-4,742,800,A
Floor-2-Wing-North-Line-5,446,500,C
Floor-4-Wing-North-Line-1,769,800,C
Floor-2-Wing-South-Line-5,505,500,A
Floor-4-Wing-North-Line-2,1721,2000,A
Floor-1-Wing-South-Line-3,1839,2000,C
Floor-5-Wing-South-Line-4,747,800,B
Floor-4-Wing-North-Line-5,485,500,A
Floor-3-Wing-North-Line-1,1763,2000,C
Floor-5-Wing-North-Line-1,1738,2000,B
Floor-4-Wing-South-Line-4,958,1200,B
Floor-5-Wing-South-Line-3,1221,1200,A
Floor-1-Wing-North-Line-2,1504,1500,A
Floor-2-Wing-South-Line-2,989,1200,C
Floor-1-Wing-South-Line-4,1615,2000,C
Floor-2-Wing-South-Line-1,1213,1200,B
Floor-4-Wing-North-Line-4,673,800,C
Floor-3-Wing-North-Line-4,420,500,A
Floor-1-Wing-South-Line-3,806,800,A
Floor-5-Wing-North-Line-1,955,1200,B
Floor-3-Wing-South-Line-5,1334,1500,B
Floor-1-Wing-North-Line-1,811,800,B
Floor-4-Wing-South-Line-5,1221,1200,A
Floor-5-Wing-North-Line-3,461,500,A
Floor-4-Wing-South-Line-4,1841,2000,C
Floor-1-Wing-North-Line-5,1157,1200,A
Floor-1-Wing-South-Line-1,1633,2000,C
Floor-5-Wing-South-Line-5,1059,1200,B
Floor-2-Wing-South-Line-4,1189,1200,C
Floor-2-Wing-North-Line-2,1583,2000,A
Floor-4-Wing-North-Line-2,1132,1200,A
Floor-4-Wing-South-Line-4,729,800,C
Floor-3-Wing-North-Line-2,1295,1500,A
Floor-5-Wing-South-Line-3,1453,1500,C
Floor-3-Wing-North-Line-4,1392,1500,B
Floor-3-Wing-North-Line-3,1797,2000,A
Floor-5-Wing-South-Line-4,636,800,B
Floor-5-Wing-South-Line-2,395,500,C
Floor-4-Wing-South-Line-2,1154,1200,A
Floor-2-Wing-South-Line-5,2008,2000,A
Floor-1-Wing-South-Line-2,1310,1500,B
Floor-5-Wing-South-Line-3,1174,1200,A
Floor-4-Wing-South-Line-3,667,800,C
Floor-3-Wing-South-Line-5,1717,2000,B
Floor-1-Wing-North-Line-5,667,800,A
Floor-3-Wing-North-Line-1,750,800,B
Floor-3-Wing-South-Line-1,1305,1500,C
Floor-1-Wing-South-Line-1,1260,1500,B
Floor-1-Wing-South-Line-4,423,500,A
Floor-1-Wing-South-Line-1,722,800,C
Floor-3-Wing-North-Line-3,651,800,C
Floor-5-Wing-North-Line-4,1018,1200,A
Floor-5-Wing-South-Line-1,734,800,B
Floor-1-Wing-South-Line-3,476,500,B
Floor-1-Wing-South-Line-3,738,800,C
Floor-5-Wing-South-Line-1,1110,1200,A
Floor-4-Wing-South-Line-1,405,500,B
Floor-3-Wing-North-Line-5,1174,1200,B
Floor-2-Wing-South-Line-4,1892,2000,C
Floor-4-Wing-South-Line-4,1839,2000,A
Floor-3-Wing-South-Line-3,1158,1200,C
Floor-5-Wing-North-Line-5,1481,1500,A
Floor-1-Wing-South-Line-4,420,500,B
Floor-2-Wing-North-Line-2,415,500,B
Floor-3-Wing-South-Line-3,1648,2000,B
Floor-3-Wing-North-Line-2,1750,2000,C
Floor-3-Wing-North-Line-4,963,1200,C
Floor-1-Wing-South-Line-4,1511,1500,B
Floor-2-Wing-South-Line-4,457,500,B
Floor-3-Wing-North-Line-2,802,800,B
Floor-4-Wing-South-Line-2,1974,2000,C
Floor-3-Wing-South-Line-1,936,1200,C
Floor-2-Wing-North-Line-2,453,500,C
Floor-1-Wing-South-Line-3,1583,2000,A
Floor-2-Wing-South-Line-1,469,500,A
Floor-1-Wing-North-Line-5,717,800,A
Floor-4-Wing-North-Line-4,813,800,A
Floor-4-Wing-South-Line-3,1223,1500,C
Floor-4-Wing-South-Line-4,1994,2000,C
Floor-5-Wing-North-Line-3,1372,1500,A
Floor-5-Wing-North-Line-4,1995,2000,A
Floor-2-Wing-North-Line-1,1665,2000,C
Floor-3-Wing-South-Line-1,1577,2000,C
Floor-5-Wing-North-Line-4,396,500,A
Floor-1-Wing-South-Line-3,1119,1200,A
Floor-2-Wing-North-Line-4,418,500,B
Floor-1-Wing-North-Line-4,1174,1200,C
Floor-3-Wing-South-Line-3,464,500,C
Floor-1-Wing-North-Line-2,1914,2000,A
Floor-5-Wing-South-Line-4,406,500,A
Floor-1-Wing-South-Line-1,1043,1200,C
Floor-2-Wing-South-Line-5,1468,1500,C
Floor-1-Wing-North-Line-2,1615,2000,C
Floor-4-Wing-South-Line-5,439,500,A
Floor-5-Wing-North-Line-5,391,500,C
Floor-1-Wing-South-Line-5,1305,1500,A
Floor-1-Wing-South-Line-2,657,800,B
Floor-3-Wing-South-Line-4,1004,1200,B
Floor-3-Wing-South-Line-1,1499,1500,B
Floor-5-Wing-North-Line-2,1635,2000,A
Floor-3-Wing-North-Line-4,1967,2000,A
Floor-4-Wing-South-Line-5,682,800,C
Floor-2-Wing-North-Line-1,429,500,C
Floor-2-Wing-North-Line-3,1746,2000,A
Floor-5-Wing-South-Line-4,642,800,A
Floor-2-Wing-South-Line-3,498,500,A
Floor-1-Wing-South-Line-1,499,500,C
Floor-1-Wing-North-Line-2,1657,2000,A
Floor-1-Wing-South-Line-5,1398,1500,A
Floor-4-Wing-South-Line-3,478,500,B
Floor-3-Wing-North-Line-1,1628,2000,C
Floor-2-Wing-North-Line-1,1076,1200,C
Floor-4-Wing-South-Line-3,469,500,A
Floor-1-Wing-North-Line-1,801,800,A
Floor-4-Wing-South-Line-5,405,500,A
Floor-5-Wing-South-Line-3,416,500,C
Floor-3-Wing-North-Line-2,1999,2000,C
Floor-2-Wing-South-Line-5,1499,1500,C
Floor-5-Wing-South-Line-5,400,500,C
Floor-3-Wing-North-Line-3,1894,2000,B
Floor-5-Wing-South-Line-2,1104,1200,A
Floor-5-Wing-North-Line-1,1999,2000,B
Floor-3-Wing-North-Line-3,684,800,C
Floor-4-Wing-South-Line-1,957,1200,A
Floor-2-Wing-South-Line-1,433,500,B
Floor-5-Wing-North-Line-3,1885,2000,B
Floor-1-Wing-North-Line-2,1659,2000,B
Floor-2-Wing-South-Line-5,445,500,B
Floor-4-Wing-North-Line-1,780,800,B
Floor-4-Wing-North-Line-4,668,800,A
Floor-5-Wing-North-Line-3,1237,1500,C
Floor-3-Wing-South-Line-2,411,500,C
Floor-1-Wing-North-Line-3,760,800,A
Floor-1-Wing-North-Line-1,395,500,A
Floor-4-Wing-South-Line-5,966,1200,A
Floor-4-Wing-South-Line-2,1390,1500,A
Floor-3-Wing-South-Line-3,750,800,B
Floor-5-Wing-South-Line-1,1922,2000,B
Floor-1-Wing-North-Line-4,1324,1500,C
Floor-1-Wing-South-Line-3,1976,2000,A
Floor-5-Wing-South-Line-4,1033,1200,C
Floor-5-Wing-North-Line-4,2023,2000,B
Floor-4-Wing-South-Line-1,701,800,B
Floor-3-Wing-South-Line-4,695,800,A
Floor-5-Wing-South-Line-2,1436,1500,C
Floor-1-Wing-North-Line-4,1067,1200,B
Floor-2-Wing-South-Line-2,1341,1500,C
Floor-3-Wing-North-Line-4,468,500,B
Floor-4-Wing-North-Line-5,1743,2000,A
Floor-2-Wing-South-Line-1,1898,2000,A
Floor-4-Wing-South-Line-4,712,800,C
Floor-1-Wing-South-Line-2,784,800,B
Floor-3-Wing-South-Line-4,1213,1500,A
Floor-1-Wing-North-Line-5,1653,2000,C
Floor-2-Wing-South-Line-3,499,500,B
Floor-4-Wing-South-Line-3,437,500,B
Floor-5-Wing-North-Line-5,1151,1200,C
Floor-5-Wing-South-Line-1,813,800,C
Floor-4-Wing-North-Line-4,452,500,A
Floor-5-Wing-North-Line-2,1266,1500,B
Floor-4-Wing-South-Line-4,1031,1200,C
Floor-1-Wing-North-Line-2,1093,1200,A
Floor-4-Wing-South-Line-1,695,800,C
Floor-3-Wing-South-Line-4,502,500,A
Floor-4-Wing-North-Line-5,1011,1200,A
Floor-2-Wing-South-Line-3,1379,1500,B
Floor-4-Wing-North-Line-2,1220,1500,C
Floor-1-Wing-North-Line-2,1299,1500,A
Floor-5-Wing-South-Line-3,749,800,B
Floor-2-Wing-North-Line-3,683,800,B
Floor-2-Wing-North-Line-4,1602,2000,C
Floor-2-Wing-North-Line-1,1481,1500,C
Floor-4-Wing-South-Line-4,480,500,A
Floor-5-Wing-South-Line-1,625,800,A
Floor-4-Wing-South-Line-2,806,800,B
Floor-4-Wing-South-Line-2,1883,2000,B
Floor-4-Wing-South-Line-5,1037,1200,B
Floor-5-Wing-North-Line-1,811,800,C
Floor-3-Wing-South-Line-4,771,800,C
Floor-4-Wing-North-Line-1,1010,1200,A
Floor-2-Wing-North-Line-1,735,800,B
Floor-5-Wing-South-Line-4,395,500,B
Floor-5-Wing-North-Line-2,781,800,C
Floor-1-Wing-South-Line-2,1943,2000,C
Floor-4-Wing-South-Line-1,1713,2000,C
Floor-3-Wing-South-Line-3,488,500,C
Floor-4-Wing-North-Line-3,1084,1200,B
Floor-3-Wing-North-Line-5,1924,2000,A
Floor-2-Wing-North-Line-4,1185,1500,A
Floor-5-Wing-North-Line-3,691,800,B
Floor-4-Wing-South-Line-1,1620,2000,C
Floor-1-Wing-South-Line-4,1426,1500,C
Floor-2-Wing-North-Line-4,448,500,C
Floor-3-Wing-South-Line-5,392,500,A
Floor-1-Wing-North-Line-4,713,800,C
Floor-3-Wing-South-Line-2,504,500,A
Floor-4-Wing-North-Line-4,1290,1500,B
Floor-1-Wing-South-Line-5,1963,2000,B
Floor-3-Wing-North-Line-4,1153,1200,C
Floor-2-Wing-North-Line-2,1448,1500,C
Floor-1-Wing-North-Line-2,461,500,A
Floor-2-Wing-South-Line-2,1304,1500,B
Floor-1-Wing-North-Line-4,483,500,A
Floor-2-Wing-South-Line-2,2005,2000,A
Floor-1-Wing-North-Line-4,1445,1500,C
Floor-2-Wing-South-Line-4,729,800,B
Floor-3-Wing-South-Line-4,1024,1200,B
Floor-5-Wing-North-Line-1,1339,1500,A
Floor-4-Wing-North-Line-1,1262,1500,A
Floor-3-Wing-North-Line-3,410,500,C
Floor-3-Wing-North-Line-5,457,500,A
Floor-4-Wing-South-Line-2,1413,1500,B
Floor-3-Wing-North-Line-2,731,800,B
Floor-5-Wing-South-Line-3,480,500,B
Floor-1-Wing-South-Line-1,642,800,B
Floor-2-Wing-South-Line-3,1279,1500,C
Floor-1-Wing-North-Line-3,1187,1200,A
Floor-4-Wing-North-Line-2,1193,1500,C
Floor-2-Wing-South-Line-5,2017,2000,B
Floor-1-Wing-South-Line-4,1981,2000,C
Floor-4-Wing-North-Line-3,390,500,A
Floor-2-Wing-North-Line-3,1888,2000,A
Floor-1-Wing-South-Line-3,756,800,C
Floor-2-Wing-North-Line-3,1098,1200,B
Floor-1-Wing-South-Line-3,2011,2000,C
Floor-5-Wing-North-Line-2,741,800,B
Floor-3-Wing-South-Line-2,769,800,A
Floor-1-Wing-South-Line-2,689,800,C
Floor-5-Wing-South-Line-5,2024,2000,B
Floor-1-Wing-South-Line-5,1109,1200,B
Floor-3-Wing-South-Line-5,506,500,A
Floor-2-Wing-North-Line-2,1374,1500,B
Floor-2-Wing-North-Line-5,1394,1500,B
Floor-4-Wing-North-Line-3,427,500,B
Floor-5-Wing-North-Line-3,437,500,A
Floor-1-Wing-South-Line-2,439,500,B
Floor-3-Wing-South-Line-2,628,800,B
Floor-1-Wing-South-Line-5,408,500,C
Floor-2-Wing-South-Line-2,768,800,C
Floor-5-Wing-North-Line-1,736,800,C
Floor-5-Wing-South-Line-3,1385,1500,C
Floor-3-Wing-North-Line-3,1266,1500,B
Floor-2-Wing-North-Line-2,983,1200,B
Floor-4-Wing-North-Line-4,685,800,C
Floor-5-Wing-South-Line-4,465,500,B
Floor-1-Wing-South-Line-2,1343,1500,A
Floor-1-Wing-South-Line-2,1951,2000,C
Floor-2-Wing-South-Line-4,1169,1200,C
Floor-4-Wing-North-Line-3,469,500,A
Floor-5-Wing-North-Line-3,1246,1500,B
Floor-4-Wing-North-Line-1,693,800,A
Floor-3-Wing-North-Line-5,473,500,A
Floor-4-Wing-South-Line-3,450,500,C
Floor-4-Wing-South-Line-5,1088,1200,C
Floor-5-Wing-North-Line-2,1146,1200,A
Floor-5-Wing-North-Line-5,1819,2000,A
Floor-2-Wing-South-Line-3,996,1200,B
Floor-4-Wing-South-Line-2,745,800,A
Floor-5-Wing-South-Line-4,496,500,C
Floor-5-Wing-North-Line-1,465,500,B
Floor-5-Wing-North-Line-3,1871,2000,C
Floor-4-Wing-South-Line-3,1183,1200,B
Floor-5-Wing-North-Line-5,1885,2000,C
Floor-3-Wing-North-Line-2,1943,2000,C
Floor-4-Wing-South-Line-4,2028,2000,C
Floor-2-Wing-South-Line-2,1777,2000,A
Floor-1-Wing-South-Line-3,482,500,A
Floor-5-Wing-North-Line-1,1984,2000,B
Floor-4-Wing-North-Line-3,1968,2000,C
Floor-3-Wing-South-Line-1,792,800,C
Floor-5-Wing-South-Line-1,1003,1200,A
Floor-1-Wing-North-Line-3,992,1200,A
Floor-4-Wing-North-Line-4,414,500,A
Floor-5-Wing-South-Line-4,1899,2000,C
Floor-3-Wing-South-Line-2,656,800,C
Floor-4-Wing-South-Line-4,447,500,C
Floor-4-Wing-North-Line-3,1029,1200,C
Floor-2-Wing-North-Line-4,687,800,A
Floor-5-Wing-North-Line-2,1198,1500,B
Floor-1-Wing-North-Line-1,1504,1500,B
Floor-2-Wing-North-Line-4,789,800,A
Floor-1-Wing-North-Line-3,1886,2000,C
Floor-4-Wing-South-Line-1,734,800,C
Floor-2-Wing-North-Line-1,1645,2000,A
Floor-5-Wing-North-Line-4,1062,1200,A
Floor-1-Wing-South-Line-3,1196,1500,C
Floor-1-Wing-South-Line-2,446,500,A
Floor-3-Wing-North-Line-3,967,1200,C
Floor-3-Wing-North-Line-3,1159,1200,B
Floor-3-Wing-North-Line-5,1175,1500,B
Floor-3-Wing-South-Line-3,1126,1200,C
Floor-1-Wing-North-Line-1,429,500,B
Floor-5-Wing-South-Line-1,1915,2000,A
Floor-1-Wing-North-Line-2,1595,2000,B
Floor-2-Wing-North-Line-3,1172,1200,C
Floor-5-Wing-North-Line-5,420,500,C
Floor-3-Wing-South-Line-2,445,500,B
Floor-4-Wing-North-Line-4,429,500,C
Floor-1-Wing-South-Line-5,646,800,C
Floor-4-Wing-North-Line-4,632,800,B
Floor-3-Wing-South-Line-4,1281,1500,C
Floor-4-Wing-North-Line-2,509,500,B
Floor-2-Wing-North-Line-3,453,500,A
Floor-3-Wing-South-Line-4,1148,1200,C
Floor-2-Wing-South-Line-3,751,800,A
Floor-4-Wing-North-Line-1,939,1200,C
Floor-3-Wing-North-Line-1,650,800,C
Floor-1-Wing-North-Line-4,720,800,C
Floor-2-Wing-South-Line-1,1137,1200,B
Floor-1-Wing-South-Line-5,745,800,B
Floor-1-Wing-South-Line-5,1566,2000,A
Floor-2-Wing-South-Line-5,1124,1200,C
Floor-5-Wing-North-Line-5,1045,1200,B
Floor-5-Wing-North-Line-2,987,1200,B
Floor-1-Wing-South-Line-4,940,1200,C
Floor-1-Wing-North-Line-2,1029,1200,A
Floor-5-Wing-South-Line-5,1130,1200,A
